date,amount,from,to
2023-02-02,131315630,unknown wallet,Coinbase
2023-02-02,72700696,unknown wallet,Lido
2023-02-02,89114837,unknown wallet,unknown wallet
2023-02-02,55796354,unknown wallet,Compound
2023-02-02,50038409,Aave,unknown wallet
2023-02-02,55805949,Compound,unknown wallet
2023-02-02,87492534,Compound,unknown wallet
2023-02-02,72360450,Lido,unknown wallet
2023-02-01,18905237,Bitso,unknown wallet
2023-02-01,10771501,unknown wallet,Bitso
2023-02-01,14500097,unknown wallet,Bitstamp
2023-02-01,25239000,unknown wallet,unknown wallet
2023-02-01,-50043416,USDC Treasury,Burn
2023-02-01,83765019,unknown wallet,unknown wallet
2023-02-01,83370401,unknown wallet,unknown wallet
2023-02-01,-50000649,USDC Treasury,Burn
2023-02-01,39650226,unknown wallet,Ripple Escrow wallet
2023-02-01,200046953,unknown wallet,Ripple Escrow wallet
2023-02-01,119486237,unknown wallet,Ripple
2023-02-01,294992639,unknown wallet,unknown wallet
2023-02-01,33599237,Binance,unknown wallet
2023-02-01,21851237,Kraken,Bitfinex
2023-02-01,20749355,Kraken,Bitfinex
2023-02-01,-96814683,USDC Treasury,Burn
2023-02-01,149967023,unknown wallet,unknown wallet
2023-02-01,149885626,unknown wallet,unknown wallet
2023-02-01,267782707,unknown wallet,Binance
2023-01-31,251200910,Binance,unknown wallet
2023-01-31,14208884,unknown wallet,Bitstamp
2023-01-31,174454645,Paxos Treasury,Mint
2023-01-31,25454673,unknown wallet,Coinbase
2023-01-31,25946734,Wrapped Ether,unknown wallet
2023-01-31,223329957,Paxos Treasury,Mint
2023-01-31,-50010788,USDC Treasury,Burn
2023-01-31,-70101318,USDC Treasury,Burn
2023-01-31,100185985,Binance,unknown wallet
2023-01-31,25650667,Bitstamp,unknown wallet
2023-01-31,-65047648,USDC Treasury,Burn
2023-01-31,100111000,Binance,unknown wallet
2023-01-31,-60026999,USDC Treasury,Burn
2023-01-31,100049927,Binance,unknown wallet
2023-01-31,-74941768,USDC Treasury,Burn
2023-01-31,100040000,Binance,unknown wallet
2023-01-31,25041348,Luno,unknown wallet
2023-01-31,63458376,Lido,unknown wallet
2023-01-31,40221539,unknown wallet,unknown wallet
2023-01-31,46252626,unknown wallet,Coinbase
2023-01-30,38830768,unknown wallet,Coinbase
2023-01-30,20030082,Bitso,unknown wallet
2023-01-30,12158859,unknown wallet,Bitso
2023-01-30,14512186,unknown wallet,Bitstamp
2023-01-30,128298152,Paxos Treasury,Mint
2023-01-30,6283434,unknown wallet,Polygon
2023-01-30,289447487,unknown wallet,unknown wallet
2023-01-30,21787248,Bitfinex,Kraken
2023-01-30,249124463,Paxos Treasury,Mint
2023-01-30,100003402,Binance,unknown wallet
2023-01-30,23708060,unknown wallet,Lido
2023-01-30,100044458,Binance,unknown wallet
2023-01-30,-109978000,USDC Treasury,Burn
2023-01-30,21830875,Bitfinex,Kraken
2023-01-30,85029890,USDC Treasury,unknown wallet
2023-01-30,-51071399,USDC Treasury,Burn
2023-01-30,-300164927,Paxos Treasury,Burn
2023-01-30,100200000,Binance,unknown wallet
2023-01-30,97699541,USDC Treasury,Mint
2023-01-30,299970000,Binance,Paxos Treasury
2023-01-30,22111028,Bitfinex,Kraken
2023-01-30,-50032522,USDC Treasury,Burn
2023-01-30,99993000,Binance,unknown wallet
2023-01-30,15322247,Binance,unknown wallet
2023-01-30,21104579,Kraken,unknown wallet
2023-01-30,101046577,unknown wallet,unknown wallet
2023-01-30,135852577,unknown wallet,unknown wallet
2023-01-30,20606697,Kraken,unknown wallet
2023-01-30,-82582984,USDC Treasury,Burn
2023-01-30,25888712,Lido,unknown wallet
2023-01-29,10539408,Binance,CryptoCom
2023-01-29,10570405,unknown wallet,Binance
2023-01-29,63971393,unknown wallet,unknown wallet
2023-01-29,-76432719,Paxos Treasury,Burn
2023-01-29,60111787,Bitfinex,Kraken
2023-01-29,60238579,unknown wallet,Bitfinex
2023-01-29,60054994,Kraken,unknown wallet
2023-01-29,16787841,unknown wallet,Binance
2023-01-29,-4994613180,Binance,Burn
2023-01-28,5131744,unknown wallet,Polygon
2023-01-28,38870101,unknown wallet,unknown wallet
2023-01-28,39407159,unknown wallet,Coinbase
2023-01-28,25684853,unknown wallet,Binance
2023-01-28,34385531,unknown wallet,Binance
2023-01-28,5284242,Polygon,unknown wallet
2023-01-27,5252500,unknown wallet,Coinbase
2023-01-27,26887649,unknown wallet,Coinbase
2023-01-27,88879999,Paxos Treasury,Binance
2023-01-27,88879999,Paxos Treasury,Binance
2023-01-27,165749952,Paxos Treasury,Mint
2023-01-27,99989985,Binance,unknown wallet
2023-01-27,50928019,unknown wallet,Coinbase
2023-01-27,25901133,unknown wallet,Coinbase
2023-01-27,88879999,Paxos Treasury,Binance
2023-01-27,88879999,Paxos Treasury,Binance
2023-01-27,164386831,Paxos Treasury,Mint
2023-01-27,-56377316,USDC Treasury,Burn
2023-01-27,100038048,Binance,unknown wallet
2023-01-27,-151992400,USDC Treasury,Burn
2023-01-27,-50440025,USDC Treasury,Burn
2023-01-27,103264033,unknown wallet,unknown wallet
2023-01-27,220699500,USDC Treasury,Coinbase
2023-01-27,220688465,USDC Treasury,Mint
2023-01-27,99995000,Binance,unknown wallet
2023-01-27,-220887092,USDC Treasury,Burn
2023-01-27,219944010,USDC Treasury,Coinbase
2023-01-27,219955974,USDC Treasury,Mint
2023-01-27,-219937520,USDC Treasury,Burn
2023-01-27,-55994400,USDC Treasury,Burn
2023-01-27,-267620210,Paxos Treasury,Burn
2023-01-27,99995000,Binance,unknown wallet
2023-01-27,249522375,Binance,Paxos Treasury
2023-01-27,55401662,Kraken,Bitfinex
2023-01-27,39122083,unknown wallet,Coinbase
2023-01-27,65533398,unknown wallet,unknown wallet
2023-01-27,-79984000,Paxos Treasury,Burn
2023-01-27,165166328,unknown wallet,unknown wallet
2023-01-27,5716200,Polygon,unknown wallet
2023-01-26,16200942,Bitso,unknown wallet
2023-01-26,88896938,Paxos Treasury,Binance
2023-01-26,88896938,Paxos Treasury,Binance
2023-01-26,199168464,Paxos Treasury,Mint
2023-01-26,12409202,unknown wallet,Bitso
2023-01-26,13650123,unknown wallet,Bitstamp
2023-01-26,100023933,Binance,unknown wallet
2023-01-26,88843065,Paxos Treasury,Binance
2023-01-26,88843065,Paxos Treasury,Binance
2023-01-26,194142957,Paxos Treasury,Mint
2023-01-26,100082000,Binance,unknown wallet
2023-01-26,-74964000,USDC Treasury,Burn
2023-01-26,86878313,USDC Treasury,Coinbase
2023-01-26,86866556,USDC Treasury,Mint
2023-01-26,-136005408,USDC Treasury,Burn
2023-01-26,199942814,USDC Treasury,Coinbase
2023-01-26,199960000,USDC Treasury,Mint
2023-01-26,37793731,unknown wallet,Wrapped BTC
2023-01-26,-199893000,USDC Treasury,Burn
2023-01-26,99980000,Binance,unknown wallet
